,Case,BL_Speed,RD_Speed,rad,BL_Hdg,RD_Hdg,BL_Alt,RD_Alt,maxRange,minErrorTry,RMax,RNez
27,27,521,684,50,0,43,12995,13523,8.26171875,8.4375,8.7890625,8.26171875
28,28,678,625,32,0,-48,13226,14560,11.25,11.42578125,19.51171875,11.25
29,29,684,666,-18,0,152,8818,9437,8.0859375,8.26171875,35.33203125,8.0859375
30,30,528,571,-19,0,136,843,2133,3.33984375,3.515625,23.73046875,3.33984375
31,31,550,744,46,0,141,8151,6729,4.21875,4.39453125,19.16015625,4.21875
32,32,509,601,-5,0,-54,12071,11732,6.85546875,7.03125,14.0625,6.85546875
33,33,495,473,16,0,101,12867,11775,10.8984375,11.07421875,22.32421875,10.8984375
34,34,596,533,25,0,64,2618,2572,2.8125,2.98828125,5.80078125,2.8125
35,35,655,548,-16,0,-87,1610,2508,3.1640625,3.33984375,8.4375,3.1640625
36,36,549,668,-34,0,-131,11516,11255,7.03125,7.20703125,24.78515625,7.03125
37,37,687,717,32,0,36,7637,8833,-1.0,0.703125,5.9765625,-1.0
38,38,734,556,-26,0,125,6273,5223,5.9765625,6.15234375,29.00390625,5.9765625
39,39,453,557,-6,0,132,6996,7036,5.09765625,5.2734375,25.83984375,5.09765625
40,40,552,485,38,0,36,13364,12204,11.07421875,11.25,12.65625,11.07421875
41,41,478,628,-28,0,4,7789,8002,3.33984375,3.515625,4.39453125,3.33984375
42,42,549,594,-1,0,175,5120,5670,5.80078125,5.9765625,29.53125,5.80078125
43,43,705,709,56,0,-46,6932,7216,4.5703125,4.74609375,15.1171875,4.5703125
44,44,624,628,32,0,-39,8210,8515,4.921875,5.09765625,11.953125,4.921875
45,45,694,695,-50,0,173,9148,10572,7.734375,7.91015625,30.234375,7.734375
46,46,637,657,56,0,-94,10182,10360,6.328125,6.50390625,27.0703125,6.328125
47,47,738,483,16,0,-24,571,1470,2.8125,2.98828125,5.2734375,2.8125
48,48,617,614,-51,0,23,10303,10310,6.85546875,7.03125,11.77734375,6.85546875
49,49,594,545,-30,0,-94,5345,4211,3.8671875,4.04296875,10.1953125,3.8671875
50,50,734,477,-32,0,111,12508,11286,13.7109375,13.88671875,31.46484375,13.7109375
51,51,665,548,12,0,112,7501,8407,6.85546875,7.03125,23.203125,6.85546875
52,52,458,650,-35,0,-7,9712,8969,4.04296875,4.21875,4.74609375,4.04296875
53,53,717,738,37,0,-13,1084,2253,-1.0,0.703125,-1.0,-1.0
54,54,746,475,-56,0,109,6299,6401,5.625,5.80078125,24.43359375,5.625
55,55,616,537,38,0,-100,2227,3185,3.33984375,3.515625,20.91796875,3.33984375
56,56,626,534,-57,0,94,8678,8584,5.9765625,6.15234375,24.2578125,5.9765625
57,57,495,653,-4,0,115,6000,4720,4.04296875,4.21875,23.02734375,4.04296875
58,58,524,677,30,0,61,10295,10620,5.09765625,5.2734375,10.01953125,5.09765625
59,59,676,539,-15,0,36,5929,6693,4.5703125,4.74609375,9.140625,4.5703125
60,60,712,684,-11,0,-81,1893,2142,2.98828125,3.1640625,7.734375,2.98828125
61,61,528,471,59,0,-85,10790,11862,7.03125,7.20703125,21.796875,7.03125
62,62,547,741,-6,0,4,9464,9480,2.8125,2.98828125,4.04296875,2.8125
63,63,475,476,-39,0,-21,3962,2640,-1.0,0.703125,-1.0,-1.0
64,64,746,540,-48,0,145,9553,9505,11.953125,12.12890625,30.5859375,11.953125
65,65,545,604,48,0,-159,6788,7713,5.625,5.80078125,26.89453125,5.625
66,66,669,489,-16,0,-81,8359,7501,6.85546875,7.03125,15.8203125,6.85546875
67,67,536,657,43,0,59,13039,12859,8.26171875,8.4375,11.25,8.26171875
68,68,469,538,46,0,-90,9829,11197,6.6796875,6.85546875,22.67578125,6.6796875
69,69,665,528,5,0,148,11721,11802,14.4140625,14.58984375,33.57421875,14.4140625
70,70,498,653,44,0,-120,4155,3068,2.98828125,3.1640625,26.54296875,2.98828125
71,71,666,609,32,0,-32,9046,10182,6.328125,6.50390625,12.12890625,6.328125
72,72,500,626,46,0,87,10457,10879,5.9765625,6.15234375,12.12890625,5.9765625
73,73,575,722,-23,0,-174,11201,10324,7.91015625,8.0859375,35.5078125,7.91015625
74,74,647,567,-48,0,81,10740,11158,8.4375,8.61328125,24.609375,8.4375
75,75,501,745,55,0,24,9852,9220,4.5703125,4.74609375,4.5703125,4.5703125
76,76,597,631,-52,0,-84,10501,11263,7.3828125,7.55859375,12.12890625,7.3828125
77,77,721,463,-51,0,24,13595,12199,12.83203125,13.0078125,17.578125,12.83203125
78,78,458,670,-17,0,-89,12215,10885,5.44921875,5.625,18.10546875,5.44921875
79,79,633,616,20,0,63,13202,12378,9.66796875,9.84375,16.5234375,9.66796875
80,80,459,555,-44,0,-32,3606,3093,-1.0,0.703125,3.33984375,-1.0
81,81,576,647,18,0,99,9881,10796,6.50390625,6.6796875,19.6875,6.50390625
82,82,513,464,47,0,-152,11538,10742,11.6015625,11.77734375,27.59765625,11.6015625
83,83,513,647,-52,0,-173,11151,11404,7.03125,7.20703125,26.19140625,7.03125
84,84,543,665,55,0,-156,9342,8512,5.80078125,5.9765625,28.828125,5.80078125
85,85,477,642,14,0,55,7763,7614,3.1640625,3.33984375,7.55859375,3.1640625
86,86,545,467,-9,0,141,7837,8315,7.3828125,7.55859375,27.59765625,7.3828125
87,87,636,486,-43,0,-45,4452,3649,3.8671875,4.04296875,5.9765625,3.8671875
88,88,496,685,-59,0,-102,4859,3656,-1.0,0.703125,5.44921875,-1.0
89,89,718,607,-42,0,-127,9103,8072,6.85546875,7.03125,20.21484375,6.85546875
90,90,597,621,43,0,-179,9737,9276,7.03125,7.20703125,29.70703125,7.03125
91,91,714,668,52,0,80,2695,4091,3.33984375,3.515625,5.44921875,3.33984375
92,92,480,478,17,0,-150,10893,10233,9.140625,9.31640625,30.234375,9.140625
93,93,724,457,-33,0,-105,5314,6621,6.15234375,6.328125,14.4140625,6.15234375
94,94,664,527,49,0,-167,6433,7023,6.6796875,6.85546875,26.015625,6.6796875
95,95,509,694,-22,0,57,7901,7096,3.515625,3.69140625,12.65625,3.515625
96,96,522,464,-9,0,131,2827,3152,4.04296875,4.21875,21.62109375,4.04296875
97,97,541,623,4,0,162,7993,7102,6.328125,6.50390625,31.81640625,6.328125
98,98,472,700,15,0,19,3031,3430,-1.0,0.703125,1.93359375,-1.0
99,99,590,558,3,0,86,6094,7247,4.74609375,4.921875,15.29296875,4.74609375
100,100,738,734,-12,0,-104,10816,10588,7.734375,7.91015625,27.0703125,7.734375
101,101,612,516,-53,0,54,1177,2412,2.8125,2.98828125,13.0078125,2.8125
102,102,621,720,6,0,-156,6531,7505,6.328125,6.50390625,33.57421875,6.328125
103,103,672,563,24,0,64,9579,10766,7.55859375,7.734375,13.53515625,7.55859375
104,104,496,502,-52,0,7,13547,13890,10.1953125,10.37109375,11.953125,10.1953125
105,105,669,609,-38,0,-116,12816,13873,12.12890625,12.3046875,23.90625,12.12890625
106,106,654,728,29,0,96,3458,4722,3.33984375,3.515625,8.7890625,3.33984375
107,107,573,529,47,0,15,3878,4465,3.33984375,3.515625,4.5703125,3.33984375
108,108,700,647,40,0,-83,1416,2084,2.98828125,3.1640625,18.6328125,2.98828125
109,109,529,725,-44,0,-144,11065,11163,5.9765625,6.15234375,24.609375,5.9765625
110,110,541,537,-14,0,16,10656,9983,6.328125,6.50390625,9.84375,6.328125
111,111,576,620,-22,0,121,4548,3658,4.21875,4.39453125,25.83984375,4.21875
112,112,480,698,-7,0,2,5902,4398,-1.0,0.703125,-1.0,-1.0
113,113,616,600,4,0,177,9944,8616,8.4375,8.61328125,35.15625,8.4375
114,114,658,595,-2,0,-93,2196,2384,3.33984375,3.515625,13.18359375,3.33984375
115,115,669,497,-45,0,56,2951,1727,3.33984375,3.515625,13.88671875,3.33984375
116,116,643,722,-50,0,-177,8827,10270,6.6796875,6.85546875,28.65234375,6.6796875
117,117,731,583,13,0,67,1696,1898,2.98828125,3.1640625,6.50390625,2.98828125
118,118,509,658,48,0,64,13660,13040,8.4375,8.61328125,11.25,8.4375
119,119,651,461,-4,0,54,10673,11476,10.546875,10.72265625,17.05078125,10.546875
120,120,702,664,-22,0,107,11066,10177,8.4375,8.61328125,31.640625,8.4375
121,121,680,535,-31,0,61,8488,9308,6.85546875,7.03125,18.10546875,6.85546875
122,122,689,656,-22,0,102,7646,8571,6.15234375,6.328125,26.89453125,6.15234375
123,123,461,706,9,0,8,10640,12003,-1.0,0.703125,-1.0,-1.0
124,124,687,605,-37,0,-60,3958,3964,3.515625,3.69140625,5.625,3.515625
125,125,532,721,39,0,-167,9177,9966,6.6796875,6.85546875,31.81640625,6.6796875
126,126,466,479,-39,0,35,12782,12517,9.66796875,9.84375,14.94140625,9.66796875
127,127,534,550,-57,0,-94,7954,7716,5.09765625,5.2734375,9.66796875,5.09765625
128,128,632,582,-58,0,-101,4495,3142,3.33984375,3.515625,6.6796875,3.33984375
129,129,522,572,-46,0,83,11995,12409,8.26171875,8.4375,24.08203125,8.26171875
130,130,601,629,-20,0,102,7290,8624,5.625,5.80078125,24.9609375,5.625
131,131,618,600,-6,0,-152,2063,2514,4.39453125,4.5703125,24.78515625,4.39453125
132,132,634,698,32,0,43,8020,7958,4.21875,4.39453125,6.328125,4.21875
